State,Median_Income_2017,Median_Income_2016,Median_Income_2015,Median_Income_2014
United States,61372,59039,56516,53657
Alabama,51113,47221,44509,42278
Alaska,72231,75723,75112,67629
Arizona,61125,57100,52248,49254
Arkansas,48829,45907,42798,44922
California,69759,66637,63636,60487
Colorado,74172,70566,66596,60940
Connecticut,72780,75923,72889,70161
Delaware,62318,58046,57756,57522
D.C.,83382,70982,70071,68277
Florida,53681,51176,48825,46140
Georgia,57016,53527,50768,49555
Hawaii,73575,72133,64514,71223
Idaho,60208,56564,51624,53438
Illinois,64609,61386,60413,54916
Indiana,58873,56094,51983,48060
Iowa,63481,59094,60855,57810
Kansas,57872,56810,54865,53444
Kentucky,51348,45369,42387,42786
Louisiana,43903,42196,45922,42406
Maine,51664,50856,50756,51710
Maryland,81084,73760,73594,76165
Massachusetts,73227,72266,67861,63151
Michigan,57700,57091,54203,52005
Minnesota,71920,70218,68730,67244
Mississippi,43441,41099,40037,35521
Missouri,56885,55016,59196,56630
Montana,59087,57075,51395,51102
Nebraska,59619,59374,60474,56870
Nevada,56550,55431,52008,49875
New Hampshire,74801,76260,75675,73397
New Jersey,72997,68468,68357,65243
New Mexico,47855,48451,45119,46686
New York,62447,61437,58005,54310
North Carolina,50343,53764,50797,46784
North Dakota,59886,60184,57415,60730
Ohio,59768,53985,53301,49644
Oklahoma,55006,50943,47077,47199
Oregon,64610,59135,60834,58875
Pennsylvania,63173,60979,60389,55173
Rhode Island,66390,61528,55701,58633
South Carolina,54971,54336,46360,44929
South Dakota,56894,57450,55065,53053
Tennessee,55240,51344,47330,43716
Texas,59295,58146,56473,53875
Utah,71319,67481,66258,63383
Vermont,63805,60837,59494,60708
Virginia,71293,66451,61486,66155
Washington,75418,70310,67243,59068
West Virginia,45392,44354,42824,39552
Wisconsin,63451,59817,55425,58080
Wyoming,57837,57829,60925,55690
